Type,loc,class,amp_x,amp_y,amp_z,power_x,power_y,power_z,sma,iqr_x,iqr_y,iqr_z,var_x,var_y,var_z,ori_z,ori_x,ori_y
static,外套右邊,move,9.387809559,10.90333359,2.961872718,5744.3825,6214.770762,14.95668521,13.93095551,0.231545925,0.258786678,0.340508699,0.077838731,0.159965537,0.089316247,162,29.35575867,2474
static,外套右邊,move,7.662833468,7.882767872,1.161269949,5704.008972,6140.50161,10.73438949,13.87008962,0.149823666,0.163444042,0.14982383,0.010830829,0.011387635,0.011070748,46,1.502685547,48
static,外套右邊,move,7.436599088,7.51453836,1.402646073,5815.106116,5995.961341,34.51040359,14.09269718,0.08172226,0.108962536,0.129393339,0.005147002,0.005907047,0.010552379,49,0.001373291,43
static,外套右邊,move,7.436613805,7.301897397,1.601751113,5833.288581,5975.890553,43.07019907,14.14760422,0.102152824,0.088531971,0.149823815,0.005084065,0.003344314,0.017724323,45,0.001373291,40
static,外套右邊,move,7.621324514,7.36238073,1.620397836,5880.038475,5929.312451,53.04472316,14.21304574,0.108963013,0.108963013,0.149823785,0.007594705,0.005177183,0.017454326,42,0.001373291,44
static,外套右邊,move,15.37122449,12.44899057,3.35155213,9169.284953,2565.485815,40.22886878,13.25004456,1.103248119,1.198590755,0.38136974,0.617379197,1.22982824,0.085361019,274,94.3662262,552
static,外套右邊,move,16.22559519,12.12255732,2.94839518,8720.098731,3224.509238,31.23942306,13.61226072,0.987475395,0.803600311,0.320078164,0.702965013,0.543017801,0.067923594,304,102.4624481,1212
static,外套右邊,move,17.68749224,13.46373053,5.814144125,8340.256566,3637.644287,64.46774033,13.78113164,1.014715672,1.130488873,0.572054591,1.015654424,0.881296368,0.366942595,377,196.1256409,4299
static,外套右邊,move,18.15471704,11.39122958,3.92005688,8975.813215,3031.161983,48.36049808,13.64343847,1.396085739,0.932993412,0.551624104,1.047185625,0.471656536,0.129985334,424,151.8102875,2035
static,外套右邊,move,16.13957041,11.50707509,3.249313506,8494.436687,3322.661048,29.16370857,13.55054348,1.273502827,1.014715672,0.422230795,0.752466814,0.416473099,0.085734422,263,82.82853699,2505
static,外套右邊,move,18.02435386,12.28516684,3.269196869,8202.024455,3643.733438,21.99396837,13.55767285,1.184970379,0.803600788,0.422230773,1.142917392,0.544042035,0.093100382,366,118.4492188,4678
static,外套右邊,move,16.69070379,11.74197714,3.488411986,8626.944758,3174.727315,31.82119492,13.5139388,1.035146713,0.803600311,0.422230765,0.791262556,0.490663457,0.106416263,303,102.6503448,1881
static,外套右邊,move,15.33342124,10.70789937,3.797302775,8688.362268,3158.16274,36.41414739,13.57789056,0.939804077,0.926183701,0.483522356,0.521745689,0.377154136,0.117922141,293,119.5925751,3732
static,外套右邊,move,19.46419775,12.64503549,5.435955747,8964.58477,2917.285783,87.92912489,13.67302016,0.674207211,0.572054386,0.38136971,1.517449807,0.635395197,0.288884137,340,147.467227,1374
static,外套右邊,move,12.40301486,8.182756579,1.989439804,8735.425273,2901.64643,30.27141166,13.46105353,0.442661285,0.401800156,0.21111542,0.179248699,0.115699125,0.025184557,162,18.9231329,408
static,外套右邊,move,11.87448924,8.607189373,1.712982163,8441.402302,3348.07183,16.27420466,13.54213716,0.490332127,0.50395298,0.19068487,0.147092594,0.142816367,0.02051607,162,12.20330811,624
static,外套右邊,move,11.65404745,8.685284976,1.920776794,8449.27082,3237.862074,20.92355319,13.51042731,0.469901562,0.408610344,0.163444161,0.132468705,0.138636522,0.028369003,168,14.47622681,937
static,外套右邊,move,12.25590343,8.802519595,2.059192128,8203.628116,3571.862195,17.23683594,13.58384948,0.592485428,0.55843401,0.23154591,0.243561575,0.153546861,0.031502985,178,28.09288692,720
static,外套右邊,move,15.23713194,14.63484312,4.996237865,4861.391383,7422.231957,68.20936956,14.24454273,1.688922882,1.396085739,1.327983916,1.305009015,0.947160631,0.533055077,431,193.3630362,1213
static,外套右邊,move,9.607418289,10.01517172,2.858186175,5471.36473,6524.154256,13.30004612,13.87636771,0.299647331,0.381369591,0.299647659,0.120374951,0.110596455,0.103911221,169,42.52670288,3243
static,外套右邊,move,8.118918135,8.050099434,2.246350517,5640.391474,6094.478574,46.95300413,14.11631997,0.149823666,0.149823666,0.190684855,0.020985695,0.01373358,0.030120794,77,4.567138672,83
static,外套右邊,move,7.465812127,7.431462827,1.486499341,5691.781745,6016.185214,54.77983453,14.17133338,0.068101406,0.068101406,0.122583091,0.006134541,0.003538223,0.008225958,47,0.001159668,41
static,外套右邊,move,7.393663796,7.513521613,1.476436823,5537.834755,6143.382046,50.82653373,14.12717367,0.122583389,0.102152348,0.122583091,0.008451838,0.005840719,0.009260252,46,0.001403809,30
static,外套右邊,move,7.43390201,7.393966569,1.4891733,5655.729152,6000.076002,68.26483708,14.21889822,0.108962536,0.068101406,0.068101764,0.006418485,0.003068824,0.006562085,41,1.00100708,40
static,外套右邊,move,7.274965512,7.329264547,1.424469976,5636.848897,6008.200069,74.50719323,14.24677742,0.068101406,0.068101406,0.081722081,0.004478792,0.002401449,0.004564399,21,0.002838135,41
static,外套右邊,move,7.564750824,7.343744616,1.731879062,5620.713231,5948.140148,77.58672424,14.2147483,0.149823666,0.068101883,0.122583151,0.008276442,0.002947672,0.010081292,50,2.269470215,45
static,外套右邊,move,7.557431954,7.722272141,1.563797187,5625.167013,5954.895206,76.06513908,14.21506748,0.149823666,0.068101883,0.102152586,0.009229761,0.007874801,0.007010042,24,1.884429932,43
static,外套右邊,move,15.01873014,14.97674907,3.666997061,7241.851081,4442.401308,87.54752147,13.94106439,1.579960346,2.28140831,0.231545925,1.137074897,2.060990403,0.092645911,251,100.5869751,777
static,外套右邊,move,15.45849522,11.43571363,4.017811821,8835.918201,2674.538824,91.18025444,13.55054346,0.953424931,1.069197416,0.46309185,0.54871043,0.600336484,0.122239938,338,158.3824158,592
static,外套右邊,move,14.38645559,9.387164227,3.038486787,8616.514438,2809.036563,57.19411211,13.45775482,0.864892006,0.681017399,0.299647659,0.411197509,0.267080776,0.06366183,280,123.9620667,526
static,外套右邊,move,14.39083755,10.51558449,2.633785831,8074.936358,3478.832403,57.18502251,13.73399254,0.953423977,0.762739182,0.320078135,0.421001554,0.296576577,0.046804595,239,102.3451691,237
static,外套右邊,move,16.21224808,10.44088366,3.449232354,8542.569668,2992.320227,67.27716231,13.58140206,1.266692638,0.912563324,0.38136974,0.766093003,0.417292582,0.081816902,336,111.1960602,335
static,外套右邊,move,15.81256935,11.12873719,3.339042791,8675.328114,2958.975032,55.46308246,13.55703443,0.946614265,1.035146713,0.279217124,0.651290635,0.465125361,0.075505196,288,84.86558533,725
static,外套右邊,move,14.85219523,12.08054325,3.648411238,8560.566633,3202.175538,52.53956939,13.64141673,0.926183701,1.287122726,0.38136971,0.515211468,0.757534261,0.101903434,280,138.1809845,962
static,外套右邊,move,18.14545869,10.75620736,3.085801235,8945.65392,2687.417045,41.48442679,13.35092027,1.116868019,0.783169746,0.333698511,0.948700046,0.417606676,0.071436889,355,111.7986755,1051
static,外套右邊,move,15.23370406,9.819300449,2.445987522,8602.260215,3169.243314,23.9785955,13.50095686,0.864892006,0.612915516,0.272406951,0.540864811,0.236550454,0.048290654,253,57.41769409,1144
static,外套右邊,move,15.62298041,10.07318644,2.732271257,8176.918488,3527.250193,38.08451398,13.68025596,0.98066473,0.674207211,0.272406965,0.659018478,0.274846819,0.048000938,297,72.28071594,675
static,外套右邊,move,12.93208697,9.68646631,2.695802279,7680.372851,3981.061094,32.64821528,13.74101551,0.803600788,0.687827587,0.272406936,0.340245951,0.190204745,0.050166118,187,59.22961426,501
static,外套右邊,move,11.2129322,12.81148534,3.291066582,5102.083184,6643.157459,92.52875559,14.23379538,0.531193256,0.299647808,0.42223078,0.498435123,0.595378076,0.089040773,148,45.96795654,162
static,外套右邊,move,9.205754938,10.35889151,2.503328146,4957.166445,6779.25418,87.90352298,14.29934333,0.149823666,0.108962536,0.163444221,0.086082345,0.084860846,0.028825498,99,7.922714233,106
static,外套右邊,move,14.38174027,14.59588711,4.82218975,7112.048405,4622.555664,98.45573741,13.99235345,2.131584167,2.57424593,0.286027312,1.202155778,2.144817957,0.179856966,255,128.8671265,765
static,外套右邊,move,17.63622221,12.276561,4.230500594,8302.267303,3349.707313,68.22421117,13.6837675,1.334794521,1.144109249,0.531193584,1.006536154,0.645694619,0.136166452,333,157.1506653,998
static,外套右邊,move,13.46522915,9.628010625,3.331992836,8308.855497,3286.472676,69.13081742,13.77825868,0.612915993,0.667397022,0.313268006,0.310614494,0.23224755,0.068537325,221,80.90274048,692
static,外套右邊,move,13.69785534,10.24419062,2.70369929,7606.826166,3891.897935,47.8195395,13.75144355,0.694637775,0.694637775,0.299647629,0.342925689,0.249064969,0.047199219,210,55.79545593,396
static,外套右邊,move,13.45642,12.44827628,3.910708149,6922.000619,4796.811045,99.01951268,14.1637783,1.178160191,1.089627743,0.59248507,0.56586358,0.650855004,0.167194693,259,81.20010376,264
static,外套右邊,move,21.76820085,26.27818371,11.42341022,5802.521108,6581.848107,255.4513034,14.57472974,1.593580723,2.056672573,1.171349883,2.495125804,3.923774441,1.06992541,997,385.5036621,2769
static,外套右邊,move,16.39633675,16.28081034,8.76547945,7627.306232,4130.867271,290.4420025,14.51609843,1.123679161,1.729784012,0.926183641,0.997794351,1.633971033,0.647992654,429,178.4942017,1294
static,外套右邊,move,21.01177849,14.17847218,6.362784553,7928.242714,3648.501154,325.0054636,14.49353972,1.144108772,1.035146236,0.572054625,2.298604531,0.86424749,0.25603247,407,105.7828817,436
static,外套右邊,move,13.82007872,9.938993154,4.540799456,7268.978939,3883.234057,312.0875741,14.52205731,0.817220688,0.633346081,0.401800275,0.46715599,0.220881802,0.101162749,227,37.89813232,239
static,外套右邊,move,13.51367943,10.20997317,3.72566881,7160.834898,4111.639098,296.6066286,14.6039922,0.8104105,0.633346558,0.272406936,0.416067053,0.227944221,0.054415043,245,28.10620117,271
static,外套右邊,move,12.46675651,10.84053316,4.001676999,6819.86803,4495.387017,258.9983287,14.58153994,0.551623821,0.715067863,0.299647689,0.27355515,0.254992281,0.075254346,201,35.44137573,215
static,外套右邊,move,11.74158986,14.11291335,5.719636723,5360.996385,6235.86083,220.8179045,14.56823877,1.518668652,1.586770535,0.531193495,0.694021154,1.017409477,0.278941974,247,46.32055664,507
static,外套右邊,move,13.82927717,17.08739161,5.858551235,6595.718467,4845.52326,336.4203177,14.65187624,2.070292473,2.335889816,0.449471474,1.071042275,1.999133953,0.200704636,304,55.86693859,345
static,外套右邊,move,15.75921753,13.85531673,5.181485401,6673.497799,5037.34518,204.5598399,14.57441054,0.667397022,0.735498905,0.503952861,0.866537547,0.672063546,0.174578006,260,150.0752258,275
static,外套右邊,move,14.17610454,16.0874292,8.747838706,3680.500245,8144.293557,313.8143398,14.54940446,1.327983856,0.994285107,0.898942947,1.155668101,0.877095005,0.780478854,357,146.0449371,571
static,外套右邊,move,14.15909601,18.69018076,15.01974628,421.6375969,12736.50383,408.3459042,12.79652949,1.906848729,0.885322571,2.642347455,3.301834579,0.917198054,2.911587835,592,354.1950626,930
