Type,loc,class,amp_x,amp_y,amp_z,power_x,power_y,power_z,sma,iqr_x,iqr_y,iqr_z,var_x,var_y,var_z,ori_x,ori_y,ori_z
dynamic,外套右邊,run,44.32967903,39.83974197,41.5582792,10022.846,4445.793356,3172.901846,12.83111241,9.227785826,2.982856214,4.61048758,59.88679972,29.0451642,24.75637386,2421.060425,6502,3821
dynamic,外套右邊,run,58.16730434,42.77376198,47.59900131,11024.96751,5459.021151,3969.738206,14.4681079,12.69416451,5.557102084,6.878275394,63.30119238,33.64918612,30.65296211,3371.428802,6818,3670
dynamic,外套右邊,run,49.34197679,41.2455582,45.97957097,9539.833241,4948.862929,3865.376153,13.04095084,9.34355855,4.399372339,4.215497494,58.71233854,31.02695079,30.41713017,4246.212306,7084,4062
dynamic,外套右邊,run,46.81967636,38.6547018,38.804757,9832.657007,5030.699455,2658.02273,12.89570264,10.93713933,3.04414764,6.129156351,58.87362142,31.84377748,20.80966182,2741.438272,6410,3526
dynamic,外套右邊,run,52.08293251,50.14489653,44.04327954,8988.712444,5312.334757,3362.425204,13.10937183,10.34465373,4.317650259,4.950996399,54.58155116,35.29327741,26.45656199,2556.538772,6862,3995
dynamic,外套右邊,run,48.27762312,37.82004332,44.37582554,9865.871246,4276.37517,3200.620813,12.53252886,9.139253378,3.663873643,4.229118109,60.43919965,27.83621609,25.06590704,1678.061305,7246,3843
dynamic,外套右邊,run,47.47358779,39.57745906,42.17723414,10076.13708,4975.592812,3186.115967,13.55448058,8.751073658,4.637728333,5.700115681,61.57459748,32.25325432,24.98989029,1111.452436,6496,3720
dynamic,外套右邊,run,49.83845118,44.93994134,46.65332092,9644.152455,5613.126733,3534.199403,13.39273894,11.18911517,5.114440918,4.195067167,57.58664354,35.34070351,27.82410925,2240.166832,7372,3612
dynamic,外套右邊,run,51.49525879,40.43927417,39.44099554,10246.57907,4651.226978,3170.174586,13.69472763,11.07334304,4.399372399,5.475379705,61.36406096,30.71012663,24.8855698,3117.407343,7875,3817
dynamic,外套右邊,run,46.96585305,36.80584471,40.39696981,10390.60296,4851.592844,3200.268656,13.52798472,12.44899833,3.221212268,5.693305492,63.69503871,31.51597092,25.09446959,3775.624817,6641,3801
dynamic,外套右邊,run,45.04217666,36.36108406,47.90383096,10107.27729,5154.011343,3775.778713,13.86147046,11.56367505,5.168922126,5.809078217,61.60391902,32.45455941,29.08518649,2378.783196,6560,4114
dynamic,外套右邊,run,53.22960827,43.68562166,41.87106314,10111.87213,4782.177538,3137.950446,13.08734522,11.48876333,3.793266654,4.848843813,60.72642397,31.73759597,24.60029321,2296.380326,6901,3875
dynamic,外套右邊,run,54.58976374,45.36186324,45.91084807,9863.078357,5351.935687,3678.42435,13.33623579,9.854322076,3.800076962,5.230213642,58.95270361,35.15968296,28.58007075,2240.872577,6815,4139
